,ssim_mean,ssim_std,issm_mean,issm_std,fsim_mean,fsim_std,rmse_mean,rmse_std,me_mean,me_std
0,0.5413762966948814,0.0771902199578875,,,,,,,,
1,,,0.3963268035031434,0.05125039186256397,,,,,,
2,,,,,0.49688316922113507,0.03397487639106183,,,,
3,,,,,,,0.49142650717750325,0.056875821968562494,,
4,,,,,,,,,0.5320300808582696,0.070875590781472
