,distance,image_number
30,issm,3499
31,issm,318
32,issm,9416
33,issm,5724
34,issm,3483
35,issm,23
36,issm,4069
37,issm,1903
38,issm,7765
39,issm,9549
40,issm,8638
41,issm,1884
42,issm,3286
43,issm,973
44,issm,9483
45,issm,564
46,issm,3258
47,issm,794
48,issm,6709
49,issm,8856
50,issm,817
51,issm,1282
52,issm,9539
53,issm,5433
54,issm,1230
55,issm,7853
56,issm,8030
57,issm,2400
58,issm,2820
59,issm,6935
