,ssim_mean,ssim_std,issm_mean,issm_std,fsim_mean,fsim_std,rmse_mean,rmse_std,me_mean,me_std
0,323.5,40.582221066209115,,,,,,,,
1,,,353.2,38.69573619922485,,,,,,
2,,,,,514.6666666666666,39.40671121635106,,,,
3,,,,,,,314.5,36.69582174217295,,
4,,,,,,,,,313.5,37.83186487605389
