,distance,image_number
30,ssim,3499
31,ssim,318
32,ssim,9416
33,ssim,5724
34,ssim,3483
35,ssim,23
36,ssim,4069
37,ssim,1903
38,ssim,7765
39,ssim,9549
40,ssim,8638
41,ssim,1884
42,ssim,3286
43,ssim,973
44,ssim,9483
45,ssim,564
46,ssim,3258
47,ssim,794
48,ssim,6709
49,ssim,8856
50,ssim,817
51,ssim,1282
52,ssim,9539
53,ssim,5433
54,ssim,1230
55,ssim,7853
56,ssim,8030
57,ssim,2400
58,ssim,2820
59,ssim,6935
