,ssim_mean,ssim_std,issm_mean,issm_std,fsim_mean,fsim_std,rmse_mean,rmse_std,me_mean,me_std
0,0.6711389514273899,0.17040364238933695,,,,,,,,
1,,,0.5673181963764388,0.1704801529545592,,,,,,
2,,,,,0.6635413317202,0.19226425069384817,,,,
3,,,,,,,0.6161911146791128,0.12462739783679458,,
4,,,,,,,,,0.7023329780450737,0.13649863772994106
