,ssim_mean,ssim_std,issm_mean,issm_std,fsim_mean,fsim_std,rmse_mean,rmse_std,me_mean,me_std
0,306.3,41.01475344312093,,,,,,,,
1,,,289.6666666666667,49.095372038060326,,,,,,
2,,,,,461.06666666666666,69.36662662180487,,,,
3,,,,,,,244.6,64.39855070832988,,
4,,,,,,,,,243.43333333333334,63.674528310428464
