gen,deme,hypervolume,diversity,convergence 
1,1,0.1304136133301413,0.8304943554674071,1.2210823747808617
2,1,0.14236374020345025,0.9421616861253614,1.1273824461931994
3,1,0.14584782072851032,0.9370284253186252,1.0879661102946938
4,1,0.1458917679196289,0.9534558152014236,1.0526391367749761
5,1,0.15172281447856964,0.9402483185419612,1.0146600112385602
6,1,0.15256808519155546,0.9873420283936316,1.0197656995361368
7,1,0.1618319874848965,0.9156309783296945,1.0081026629314664
8,1,0.16965037733356,0.9771510940985737,1.0398062269295345
9,1,0.18800161993644934,0.9756802837534138,1.0323162856362635
10,1,0.19074653606496553,0.9107935242505892,1.0018889615635886
11,1,0.1955785239039132,0.9342051444072078,1.0020648018226381
12,1,0.19570784124932827,0.9313763813230561,0.9830991533930488
13,1,0.2078255594406363,0.9767864450221103,0.9323768798732569
14,1,0.2083917384573243,0.9023274360745572,0.9255875579927214
15,1,0.22238047492165722,0.937441964961846,0.9190989108465893
16,1,0.22738759156548832,0.9598399862199141,0.9088897235269271
17,1,0.22949707091338928,0.9122347012476053,0.8951617609444821
18,1,0.2444828092006569,0.9215059195017499,0.8983662998793236
19,1,0.2513794071402414,0.9056220588323552,0.8958391090396681
20,1,0.25438377421053093,0.9146622487153244,0.8814853039622106
21,1,0.25929872879612936,0.9411381795264857,0.8539288820803927
22,1,0.26749670557099264,0.9351089243363234,0.8406204973938302
23,1,0.2702478552448901,0.93842685251788,0.8298937397293044
24,1,0.27445374100524156,0.9308656168569401,0.8233141520091869
25,1,0.28796815546494353,0.8953284898310752,0.8120667686902628
26,1,0.29206697011267563,0.964044338640296,0.7982674857244098
27,1,0.301885342126603,0.9529521236419207,0.8037336359411195
28,1,0.3144255313919537,0.9220639006994873,0.7879658919126651
29,1,0.32292354871084833,0.9693706200696878,0.7689033824190757
30,1,0.3295204870894175,0.920099252948341,0.7323755459110924
31,1,0.3326247341878562,0.9953548143922546,0.7322046632166826
32,1,0.3356916013976336,0.9876917372582438,0.7388883160248731
33,1,0.3356918732035365,0.9429790028649099,0.7213742267522986
34,1,0.3454431410764401,0.9834777297731174,0.7139156718152453
35,1,0.34695672077346357,0.9602170061635982,0.7165173168333165
36,1,0.3496896452973272,1.011495464178033,0.7021390211084454
37,1,0.3541786848165259,1.0539390136984186,0.7159875164935038
38,1,0.3632252543142135,1.0197160545753445,0.7190339725200987
39,1,0.3658963488490375,1.0540271896749642,0.712265547744418
40,1,0.3737002311385098,1.0151304245784716,0.6904389959457843
41,1,0.37375343310164644,1.0435238770276067,0.6994494903840641
42,1,0.38748774596881863,1.0379818663901212,0.6855913173130094
43,1,0.388949423584119,1.0474126974936995,0.6877734676235633
44,1,0.3901506443885551,0.9992402074118257,0.6787304672786045
45,1,0.3972982211504245,1.0284737733620242,0.6695063181016168
46,1,0.3986283327073681,1.0700352509436697,0.6681081089477857
47,1,0.40871237652120807,0.9986737959503428,0.670489189249336
48,1,0.4111775793303112,1.0518854631988022,0.659043318160811
49,1,0.41159190629179615,1.0516086698250298,0.6681592826681584
50,1,0.41230270042930706,1.0444027192565961,0.6779746072959658
51,1,0.4231408253973698,1.0557249845419938,0.6941769516053102
52,1,0.4242694868697325,0.9610302035136826,0.6602021524352905
53,1,0.4256667149315354,1.015537683362707,0.6560201814729691
54,1,0.42705212409091725,1.0363384283915313,0.6382865696017603
55,1,0.4273326091363451,1.0549986663285318,0.6333355285544396
56,1,0.4323971281269828,1.0905728665862906,0.6395874073499256
57,1,0.4369129539461421,0.9843832747596187,0.6282663044525029
58,1,0.4406141997986663,0.9917922935523816,0.6437467328139169
59,1,0.44230734899123075,1.0137624443192732,0.6458594686274887
60,1,0.44502636436883874,1.0473314463971342,0.6351049946748357
61,1,0.447386767726825,0.9974736367676424,0.6379046697848094
62,1,0.46279101746600554,0.979444147036039,0.6566707077095744
63,1,0.46426679398128934,1.0648987385129316,0.6183481921033245
64,1,0.46432959451737305,1.0628311038517064,0.6168816777206059
65,1,0.4653921121621927,1.0529883770200494,0.6046783352515531
66,1,0.46539339953341224,1.0302780032755467,0.5928134054091688
67,1,0.4728677547822668,1.0741873160559334,0.5815125979391008
68,1,0.47303538774159826,0.9840573458852427,0.5784834280389884
69,1,0.4736716499725107,0.9878483848546912,0.5814773412098999
70,1,0.47737575385854497,1.034573763250276,0.5737812526676017
71,1,0.4787031905686564,1.0121860269465786,0.5574266752994591
72,1,0.48109926212250753,1.0403078240429757,0.5582871168469274
73,1,0.4812026967602368,1.0710180922185328,0.5710340187589006
74,1,0.4818443350146471,1.0954593461804192,0.5781578799954434
75,1,0.48550834534044957,1.1201051240705715,0.5627662858410741
76,1,0.4872235540329719,0.9886602446048479,0.5681881410974142
77,1,0.4933993178806289,1.0798788107081034,0.5713295416254682
78,1,0.4936059243092656,1.0898054622809612,0.5910008572987602
79,1,0.4948503161133898,1.0913043261533328,0.6123098792439177
80,1,0.49534811330119977,0.9908767817160204,0.6275898541627136
81,1,0.4956467254734922,1.045778949747367,0.6300526851372659
82,1,0.4958923649366116,1.0762135854088783,0.6444173102048678
83,1,0.5002795051435676,1.0659831007043445,0.6312170225235759
84,1,0.5007004703988075,1.0836789249574659,0.6130503509916695
85,1,0.5018891895169457,1.1027679174975797,0.635363042699319
86,1,0.5019427734112334,1.1012918504225384,0.6602520792379863
87,1,0.5033794504601978,1.0961149408569313,0.6305064673787446
88,1,0.50458646803537,0.9581746650134808,0.6284209844456574
89,1,0.5047075564143338,1.0158283083217203,0.590017834210789
90,1,0.504936692592821,1.1798886754126576,0.5742053053385363
91,1,0.5061622279737792,1.059133892507886,0.5921875650734935
92,1,0.5062378167903908,1.0800267726393218,0.6078612255074424
93,1,0.5074620948137152,1.0600504240963529,0.6169013987843371
94,1,0.5077371239990204,1.1080440895227597,0.6198003892282508
95,1,0.5101385791484196,1.1577971080075085,0.6199972849006641
96,1,0.5102765627867059,1.1268824700248485,0.6316995266967506
97,1,0.5106429965827787,1.1680583099963688,0.640388305277658
98,1,0.5126200900420989,1.1360003205013405,0.6553579328367553
99,1,0.514225862660029,0.9550489259976377,0.6336883602183865
