,ssim_mean,ssim_std,issm_mean,issm_std,fsim_mean,fsim_std,rmse_mean,rmse_std,me_mean,me_std
0,0.5334828021007604,0.14017852336109957,,,,,,,,
1,,,0.4306171243319943,0.13750626031709653,,,,,,
2,,,,,0.4996057958288887,0.14101843845702586,,,,
3,,,,,,,0.5105908602163018,0.09000636429282313,,
4,,,,,,,,,0.585334392479523,0.09599685172106733
