,ssim_mean,ssim_std,issm_mean,issm_std,fsim_mean,fsim_std,rmse_mean,rmse_std,me_mean,me_std
0,308.8,41.84447394818102,,,,,,,,
1,,,325.2,47.560768146305904,,,,,,
2,,,,,509.1333333333333,69.25784351890324,,,,
3,,,,,,,302.53333333333336,39.641504624432315,,
4,,,,,,,,,300.4,39.88449991329129
