gen,deme,hypervolume,diversity,convergence 
1,1,0.23847373539651442,0.8476499340328396,1.2004671811293286
2,1,0.25941484311130236,0.903393205630149,1.1250616206599338
3,1,0.26686513457215955,0.8922305636689464,1.0468653702121817
4,1,0.26923538727731994,0.932053517727651,1.0260863220171967
5,1,0.2770636814819193,0.9602384430985224,0.9622789829914837
6,1,0.2954579583431813,0.9591314414907239,0.9014774894841774
7,1,0.2979731281742719,0.9863316529694559,0.8785175312178742
8,1,0.30098573159433456,0.9884724697828499,0.8533657320473813
9,1,0.3183380638936773,0.9888949200162926,0.8611544571690695
10,1,0.32297840667433825,0.9872324945651616,0.831851248930154
11,1,0.33943828339840004,0.9849854776012785,0.8089452107702365
12,1,0.3425269966210692,0.9974946824618484,0.785821695476105
13,1,0.3428010417547748,1.0044044321424974,0.7768049849203906
14,1,0.34823042205733046,0.979276452818759,0.7685066421715883
15,1,0.35245636660040336,0.9931710129619958,0.756166209352045
16,1,0.3594312305902834,0.90722459726975,0.7576977463502137
17,1,0.3660971432665075,0.9784766159341705,0.7578172578083223
18,1,0.37218965312899494,0.9489552828691286,0.7262784243152239
19,1,0.3895957645213428,1.0051436134817853,0.7067382798786002
20,1,0.38973470521734954,0.9761675028511464,0.6872303410309311
21,1,0.3970632599865861,0.9538935984002282,0.6835084491831878
22,1,0.40423069583986343,0.9299027346970067,0.679172449190243
23,1,0.42042635820708524,1.0213256879006056,0.6593055491112912
24,1,0.4225452526078689,0.9976138118936568,0.6477785450525066
25,1,0.4241514310061388,1.0059505974448286,0.6210102024648869
26,1,0.43149611193392656,1.0056821341736237,0.6462437330275764
27,1,0.4337439386458351,1.0248381720840618,0.6312633383529435
28,1,0.4414595868657076,1.0412669221952162,0.5939096397626619
29,1,0.45279485990947693,0.924520115997637,0.5839567391448415
30,1,0.4592556043600137,1.0089650344189214,0.5913548328959585
31,1,0.46520592057581733,0.9530168805545354,0.5903726795761592
32,1,0.4658877284019203,0.9934867187367123,0.568879660426449
33,1,0.4701132439101438,0.9562306733292235,0.5552347114351965
34,1,0.481489656506196,0.988825571042246,0.5428699452184352
35,1,0.48798731311017773,0.9416738157199459,0.5196940414659212
36,1,0.49086957346438603,0.9907422172052478,0.5167087892253324
37,1,0.4991012043025505,1.0591133845253833,0.5116417428835552
38,1,0.5058322956277553,1.0312107224505698,0.49935776376367474
39,1,0.508775357251961,1.072140674444338,0.4892299976597546
40,1,0.5133944385030147,1.0218144308093986,0.4730312628031264
41,1,0.5162499216394505,1.0079652904846277,0.46981816372868507
42,1,0.5206974795117727,0.9951052972167629,0.46546217332031736
43,1,0.525644193497816,1.017640828768318,0.45944361421668817
44,1,0.5272512784959483,1.0083114022624426,0.4501510918262352
45,1,0.5306856876561941,1.0899422303544564,0.45393668866880604
46,1,0.5330947098218621,1.102539310416698,0.44709303144309864
47,1,0.5428626080535562,1.0742117152048705,0.44269279921724136
48,1,0.5431643586546483,1.116172361378625,0.44199303094445536
49,1,0.5469341524794975,1.0247567514827207,0.4344002619093625
50,1,0.5507479198187571,1.0129108175672439,0.43300741064719883
51,1,0.5550253866755774,1.1230430308474202,0.42978655465439225
52,1,0.5551014260963182,1.1009425120030216,0.42513572462961985
53,1,0.5584607700694919,1.0523316387353476,0.42343033921591827
54,1,0.5645180251326544,1.040512290506604,0.417008843393147
55,1,0.5656178942925167,1.0962750781778487,0.41063780189438526
56,1,0.5657444444794809,1.1236521400879464,0.40391798223526765
57,1,0.5705928343417781,1.0524643107202722,0.40252795833386595
58,1,0.5726018814509605,1.0834543457425805,0.400062316224409
59,1,0.5726578188466067,1.0622459780557345,0.39373407789257725
60,1,0.5760257364317105,1.1751669196089052,0.391290798475377
61,1,0.5770267825955944,1.0987147647410007,0.3879152795796027
62,1,0.5792874596265387,1.0582411634666065,0.3846117784846031
63,1,0.5804316765731108,1.049838790784686,0.3838006393058993
64,1,0.5814685816225068,1.1032648451000706,0.3830833721475669
65,1,0.5861879102721599,1.1610827365581038,0.38049652660839955
66,1,0.5874416280754087,1.1387473483565915,0.3775751169087127
67,1,0.5899204171536695,1.060573073294867,0.3730271817086071
68,1,0.5901090841208321,1.0684842496997415,0.37193321465933016
69,1,0.5918712567434623,1.1040280857399145,0.37123752479589067
70,1,0.5920418666607644,1.0851005575624852,0.36762809562623605
71,1,0.5939040340676343,1.1178315814495299,0.3676846139989364
72,1,0.5944600344045761,1.195364240869196,0.366177543791021
73,1,0.5945212916474047,1.0116007046075406,0.36371154062666683
74,1,0.598761866528202,1.1008500806519834,0.3643432637833362
75,1,0.5987768815863801,1.1288544436249863,0.3641832687537156
76,1,0.5990955695464715,1.2082732934357676,0.36379688441728175
77,1,0.5991151627583486,1.169198830478199,0.36239465931265136
78,1,0.5999219514972614,1.2021582188453188,0.3633898869484454
79,1,0.600157157424519,1.1777508515174162,0.36304412361382643
80,1,0.6004133374177523,1.2049798085670487,0.3589841478514305
81,1,0.6004182587288384,1.2548764970778261,0.358139311763006
82,1,0.6014409263186773,1.0720757962252938,0.355973838353196
83,1,0.6027260417786947,1.2651222391833998,0.35477560318065315
84,1,0.6032523699747685,1.2456547999679868,0.35599369399858505
85,1,0.6032785946728161,1.0928103246175498,0.3555132830198955
86,1,0.6052742702714228,1.119683654348325,0.35339590830223544
87,1,0.6053116490315136,1.0842074468214404,0.35257423349149786
88,1,0.6057510422371095,1.102363174172191,0.35382112764515194
89,1,0.606065218023633,1.08402930372387,0.35490016791107637
90,1,0.6067399767947982,1.0759931609497564,0.3567048625179057
91,1,0.6068281024251867,1.1196158074598728,0.3556406361715164
92,1,0.6068788152844379,1.1188533252161257,0.35501555719187095
93,1,0.6076556430431781,1.0617521721558807,0.3534619993843241
94,1,0.6082117058088597,1.066786103189387,0.3528645503761034
