,mutation,image_number
0,mutUniformInt,2481
1,mutUniformInt,2602
2,mutUniformInt,4972
3,mutUniformInt,4992
4,mutUniformInt,5616
5,mutUniformInt,6415
6,mutUniformInt,6646
7,mutUniformInt,7456
8,mutUniformInt,8207
9,mutUniformInt,8228
10,mutUniformInt,9201
11,mutUniformInt,9270
12,mutUniformInt,9368
13,mutUniformInt,9377
14,mutUniformInt,9587
