,ssim_mean,ssim_std,issm_mean,issm_std,fsim_mean,fsim_std,rmse_mean,rmse_std,me_mean,me_std
0,303.8,40.01199820053979,,,,,,,,
1,,,254.13333333333333,5.78350143847902,,,,,,
2,,,,,413.0,14.352700094407323,,,,
3,,,,,,,186.66666666666666,3.2180049029725786,,
4,,,,,,,,,186.46666666666667,5.264556539306568
